age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
24,Private,396099,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0.0
43,Private,24264,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1.0
46,Federal-gov,140664,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,1.0
61,?,71467,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,40,United-States,1.0
33,Private,260782,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,41,United-States,1.0
29,Private,221428,12th,8,Married-civ-spouse,Sales,Own-child,Other,Male,35,United-States,0.0
25,Private,167571,Some-college,10,Never-married,Other-service,Own-child,White,Female,25,United-States,0.0
27,Private,35032,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,1.0
52,Local-gov,311569,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1.0
42,Private,511068,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1.0
27,Local-gov,216013,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0.0
35,Self-emp-not-inc,170174,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,1.0
43,Private,160369,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0.0
55,Local-gov,99131,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,40,United-States,1.0
52,Private,167651,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1.0
41,Private,75171,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0.0
39,Private,202027,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,1.0
56,Self-emp-not-inc,94156,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1.0
54,Private,90363,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1.0
25,Private,182332,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,50,United-States,0.0
34,Private,198265,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,1.0
40,Private,97688,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,48,United-States,1.0
44,Private,156413,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,44,United-States,1.0
42,Self-emp-inc,277256,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1.0
46,Private,165953,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,1.0
24,Self-emp-not-inc,188274,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,50,United-States,0.0
44,Self-emp-inc,133060,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,60,United-States,0.0
44,Self-emp-not-inc,234767,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,United-States,1.0
35,Private,272019,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.0
43,Private,157473,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,40,United-States,0.0
47,Private,250170,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,1.0
36,Private,104858,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,56,United-States,1.0
54,State-gov,305319,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,70,United-States,0.0
46,Private,185673,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,0.0
37,Private,118358,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1.0
20,Private,212668,Some-college,10,Never-married,Sales,Own-child,White,Female,30,United-States,0.0
44,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1.0
62,Self-emp-not-inc,102631,Some-college,10,Widowed,Farming-fishing,Unmarried,White,Female,50,United-States,0.0
35,Private,391937,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0.0
51,?,69328,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,50,United-States,1.0
24,Private,488541,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,35,United-States,0.0
26,?,176077,Some-college,10,Never-married,?,Unmarried,White,Female,40,United-States,0.0
58,Self-emp-not-inc,127539,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,25,United-States,0.0
33,?,186824,Some-college,10,Never-married,?,Own-child,White,Male,40,United-States,0.0
23,Private,215616,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,20,United-States,0.0
18,?,179484,12th,8,Never-married,?,Own-child,Other,Male,40,United-States,0.0
43,Private,221172,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,1.0
76,?,197988,5th-6th,3,Married-civ-spouse,?,Husband,White,Male,8,United-States,0.0
49,State-gov,423222,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,80,United-States,1.0
32,Private,194981,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,36,United-States,0.0
47,Private,70554,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,1.0
40,Federal-gov,155106,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,55,United-States,1.0
57,Private,354923,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States,0.0
17,Private,154908,10th,6,Never-married,Other-service,Own-child,White,Female,10,United-States,0.0
17,Private,260797,10th,6,Never-married,Handlers-cleaners,Own-child,White,Female,23,United-States,0.0
47,Local-gov,36169,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1.0
39,Self-emp-not-inc,193026,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,1.0
42,Private,154374,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1.0
45,Private,306122,Bachelors,13,Never-married,Other-service,Not-in-family,Black,Female,44,United-States,1.0
23,Private,200089,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,White,Male,40,El-Salvador,0.0
64,Self-emp-not-inc,219661,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,9,United-States,1.0
35,Self-emp-not-inc,133935,Some-college,10,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,40,United-States,0.0
63,Private,165611,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1.0
19,?,239862,Some-college,10,Never-married,?,Other-relative,White,Male,40,United-States,0.0
29,Private,220692,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,Black,Female,40,United-States,0.0
69,Private,172354,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,50,United-States,0.0
25,Private,35854,Some-college,10,Married-spouse-absent,Sales,Unmarried,White,Female,40,United-States,0.0
44,Private,147110,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,40,United-States,1.0
21,Private,162688,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0.0
28,Self-emp-not-inc,183151,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1.0
45,Private,192360,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1.0
55,Private,380357,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,60,?,1.0
42,Federal-gov,91468,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0.0
32,Local-gov,40444,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,0.0
25,Private,196947,Bachelors,13,Never-married,Sales,Own-child,White,Female,40,United-States,0.0
34,Private,293703,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,Philippines,0.0
34,Private,75454,12th,8,Divorced,Other-service,Unmarried,Black,Female,40,United-States,0.0
54,Private,155737,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,40,United-States,1.0
39,Private,104089,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,1.0
70,Self-emp-not-inc,205860,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,0.0
38,Private,241998,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1.0
39,Private,176296,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,1.0
37,Private,248010,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1.0
66,Private,207917,7th-8th,4,Married-civ-spouse,Other-service,Husband,Black,Male,20,United-States,0.0
26,Private,184872,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,55,United-States,1.0
48,Private,248164,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,1.0
31,Private,185778,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,60,United-States,0.0
54,Private,155233,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,1.0
61,Private,213321,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0.0
32,Private,188245,11th,7,Never-married,Priv-house-serv,Unmarried,Black,Female,40,United-States,0.0
51,State-gov,108037,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0.0
36,Self-emp-not-inc,147258,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,1.0
51,Local-gov,108435,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.0
53,Private,92565,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,United-States,1.0
60,Private,80574,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,38,United-States,0.0
46,Local-gov,238162,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,1.0
50,Private,266529,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.0
25,?,12285,Some-college,10,Never-married,?,Not-in-family,Amer-Indian-Eskimo,Female,20,United-States,0.0
68,State-gov,202699,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,?,1.0
